㞘底	toʔ˥ ti˥˧
中饭吃过	ʦoŋ˧ vɛ̃˧ ʨʰioʔ˥ ku˧
丰	foŋ˧
丰年	foŋ˧ niɛ̃˧
串	ʦʰuõ˥
临	lin˨˩˧
临帖	lin˧˩ tʰiəʔ˥
丸	ɦuõ˨˩˧
丹	tᴇ̃˧
为	ɦui˩˧
为勒	ɦui˩˧ ləʔ˨
为啥	ɦui˩˧ sɑ˥˧
主	ʦʮ˥˧
主人	ʦʮ˥˧ zen˧˩
主婚人	ʦʮ˧ hun˧˩ zen˧˩
主张	ʦʮ˧ ʦɑŋ˧˩
主張	ʦʮ˧ ʦɑŋ˧˩
丽	li˩˧
举	ʨy˥˧
举人	ʨy˥˧ zen˧˩
举手	ʨy˧ sei˥˧
乃	nᴇ˥˧
久	ʨiø˥˧
么	iɔ˧
义	ȵi˩˧
之	ʦɿ˧
之上	ʦɿ˧ zɑŋ˩˧
之下	ʦɿ˧ ɦiɑ˩˧
之內	ʦɿ˧ nei˥
之内	ʦɿ˧ nei˥
之前	ʦɿ˧ ʥiɛ̃˨˩˧
之后	ʦɿ˧ ɦei˩˧
之外	ʦɿ˧ ɦuɛ6
之後	ʦɿ˧ ɦei˩˧
之間	ʦɿ˧ ʨiɛ̃˧
之间	ʦɿ˧ ʨiɛ̃˧
乌	u˧
乌七八糟	ʔu˧ ʨiəʔ˥ pɑʔ˥ ʦɔ˧
乌云	ʔu˧ ɦyn˧
乌烟鬼儿	ʔu˧ ʔiɛ̃˧ kui˥˧ əl˧˩
乌焦	ʔu˧ ʨiɔ˧
乌煤	ʔu˧ mei˧
乌珠	ʔu˧ ʦʮ˧
乌珠脱出	ʔu˧ ʦʮ˧ tʰoʔ˥ ʦʰʮəʔ˥
乌篷船	ʔu˧ boŋ˧ ʣʮõ˧
乌米饭	ʔu˧ mi˧ vɛ̃˧
乌糟糟	ʔu˧ ʦɔ˧ ʦɔ˧
乌老鸦	ʔu˧ lɔ˧ ʔuɑ˧˩
乌花	ʔu˧ huɑ˧
乌花郎中	ʔu˧ huɑ˧ lɑŋ˧ ʦoŋ˧
乌豇豆	ʔu˧ kɑŋ˧ dei˧
乌贼鱼	ʔu˧ zɛ˥ ɦy˧
乌赤铁黑	ʔu˧ ʦʰəʔ˥ tʰiəʔ˥ hɑʔ˥
乌青块	ʔu˧ ʨin˧ kʰui˧
乌饭糕	ʔu˧ vɛ̃˩˧ kɔ˧
乌骨鸡	ʔu˧ kuoʔ˥ ʨi˧
乌鼻头儿	ʔu˧ bɑʔ˨ dei əl
乌龟	ʔu˧ kui˧
乌龟壳	ʔu˧ kui˧ kʰoʔ˥
乌龟子儿	ʔu˧ kui˧ ʦɿ˥˧ əl˧˩
乍	ʣɑ˩˧
乎	ɦu˨˩˧
乏	vɑʔ˨
乏力	vɑʔ˨ liəʔ˨
乐	loʔ˨
乐开	loʔ˨ kʰɛ˧
乐得	loʔ˨ təʔ˥
乐惠	loʔ˨ ɦui˩˧
乒乓球	pin˧ poŋ˧ ʥiø˧˩
乔	ʥiɔ˨˩˧
乖	kuɛ˧
乖乖	kuɛ˧ kuɛ˧
乖巧	kuɛ˧ ʨʰiɔ˥˧
乘	ʣen˨˩˧
乘風涼	ʣen˧˩ foŋ˧ liɑŋ˧
乘风凉	ʣen˧˩ foŋ˧ liɑŋ˧
乙	ʔiəʔ˥
九	ʨiø˥˧
九九	ʨiø˥˧ ʨiø˥˧
九十	ʨiø˥˧ zəʔ˨
九十一	ʨiø˥˧ zəʔ˨ ʔiəʔ˥
九号	ʨiø˥˧ ɦɔ˧˩
九溪烟树	ʨiø˥˧ ʨʰi˧˩ ʔiɛ̃˧ zʮ˩˧
九溪煙樹	ʨiø˥˧ ʨʰi˧˩ ʔiɛ̃˧ zʮ˩˧
九號	ʨiø˥˧ ɦɔ˧˩
九雌十雄	ʨiø˥˧ ʦʰɿ˧ zəʔ˨ ɦioŋ˨˩˧
乞	ʨʰiəʔ˥
也	iᴇ˥˧
习	ʥiəʔ˨
乡	ɕiɑŋ˧
乡下人	ɕiɑŋ˧ ɦiɑ˧ zen˧
乡气	ɕiɑŋ˧ ʨʰi˧
乡瓜头儿	ɕiɑŋ˧ kuɑ˧ dei əl
书	sʮ˧
书包	sʮ˧ pɔ˧
书场	sʮ˧ ʣɑŋ˧
书架	sʮ˧ ʨiɑ˧
书橱	sʮ˧ ʣʮ˧
书法	sʮ˧ fɑʔ˥
书生	sʮ˧ sen˧
书画	sʮ˧ ɦuɑ˩˧
书腐腾腾	sʮ˧ vu˧ den˧˩ den˥˧
书踱头	sʮ˧ doʔ˨ dei
买	mᴇ˥˧
买主	mɛ˧˩ ʦʮ˧˩
乱	luõ˥˧
乱七乱八	luõ˥˧ ʨʰiəʔ˥ luõ˩˧ pɑʔ˥
乱七八糟	luõ˥˧ ʨʰiəʔ˥ pɑʔ˥ ʦɔ˧
乱头阿爹	luõ˥˧ dei˥˧ ʔɑ˧˩ tiɑ˧˩
乱抢把儿笋	luõ˥˧ ʨʰiɑŋ˥˧ pɑ˥˧ əl˧˩ sʮen˥˧
乱涂一泡	luõ˥˧ du˥˧ ʔiəʔ˥ pʰɔ˧˩
乱话	luõ˥˧ ɦuo˩˧
乱话三千	luõ˥˧ ɦuo˩˧ sɛ̃˧ ʨʰiɛ̃˧
乳	zʮ˥˧
乾	ʥiᴇ̃˨˩˧
乾兒子	kɛ̃˧ əl˧ ʦɿ
乾咳	kɛ̃˧ kʰɑʔ˥
乾娘	kɛ̃˧ niɑŋ˧
乾杯	kɛ̃˧ pei˧
乾果	kɛ̃˧ ku˧
乾淨	kɛ̃˧ ʥin˧
乾淨水	kɛ̃˧ ʥin˧ sʮei˥˧
亂	luõ˩˧
亂七亂八	luõ˥˧ ʨʰiəʔ˥ luõ˩˧ pɑʔ˥
亂七八糟	luõ˥˧ ʨʰiəʔ˥ pɑʔ˥ ʦɔ˧
亂塗一泡	luõ˥˧ du˥˧ ʔiəʔ˥ pʰɔ˧˩
亂搶把兒筍	luõ˥˧ ʨʰiɑŋ˥˧ pɑ˥˧ əl˧˩ sʮen˥˧
亂話	luõ˥˧ ɦuo˩˧
亂話三千	luõ˥˧ ɦuo˩˧ sɛ̃˧ ʨʰiɛ̃˧
亂頭阿爹	luõ˥˧ dei˥˧ ʔɑ˧˩ tiɑ˧˩
了	ləʔ
争	ʦen˧
争争儿	ʦen˧ ʦen˧ əl˧
事	zɿ˩˧
事情	zɿ˩˧ ʥin˥˧
二	əl˥
二伏	əl˥ voʔ˨
二分头	əl˥ fen˧˩ dei˧˩
二分頭	əl˥ fen˧˩ dei˧˩
二十	əl˥ zəʔ˨
二十一	əl˥ zəʔ˨ ʔiəʔ˥
二号	əl˥ ɦɔ˧˩
二婚头	əl˥ hun˧˩ dei
二婚頭	əl˥ hun˧˩ dei
二房东	əl˥ vɑŋ˩˧ toŋ˥˧
二房東	əl˥ vɑŋ˩˧ toŋ˥˧
二百五	əl˥ pɑʔ˥ ʔu˥˧
二號	əl˥ ɦɔ˧˩
二郎腿	əl˥ lɑŋ˧˩ tʰui˥˧
于	ɦy˨˩˧
于謙墓	ɦy˩˧ ʨʰiɛ̃˧ mo˩˧
于谦墓	ɦy˩˧ ʨʰiɛ̃˧ mo˩˧
亏	kʰui˧
亏煞	kʰui˧ sɑʔ˥
云	ɦyn˨˩˧
云土	ɦyn˧˩ tʰu˥˧
云头	ɦyn˧˩ dei
云栖竹径	ɦyn˧˩ ʨʰi˧ ʦoʔ˥ ʨin˥
云片糕	ɦyn˧˩ pʰiɛ̃˥ kɔ˧
云腿	ɦyn˧˩ tʰui˥˧
云雾茶	ɦyn˧˩ ɦu˩˧ ʣɑ˥˧
互	ɦu˩˧
五	ʔu˥˧
五十	ʔu˥˧ zəʔ˨
五十一	ʔu˥˧ zəʔ˨ ʔiəʔ˥
五千	ʔu˥˧ ʨiɛ̃˧
五号	ʔu˥˧ ɦɔ˧˩
五子儿	ʔu˥˧ ʦɿ˧˩ əl˧˩
五子兒	ʔu˥˧ ʦɿ˧˩ əl˧˩
五斗橱	ʔu˥˧ tei˧˩ ʣʮ˧˩
五湖四海	ʔu˥˧ ɦu˧˩ sɿ˥ hɛ˧˩
五穀	ʔu˥˧ koʔ˥
五脏	ʔu˥˧ ʣɑŋ˧˩
五臟	ʔu˥˧ ʣɑŋ˧˩
五花八門	ʔu˥˧ huɑ˧˩ pɑʔ˥ men˨˩˧
五花八门	ʔu˥˧ huɑ˧˩ pɑʔ˥ men˨˩˧
五號	ʔu˥˧ ɦɔ˧˩
五谷	ʔu˥˧ koʔ˥
五香粉	ʔu˥˧ ɕiɑŋ˧˩ fen˥˧
五香袋儿	ʔu˥˧ ɕiɑŋ˧˩ dɛ˩˧ əl˥˧
五香袋兒	ʔu˥˧ ɕiɑŋ˧˩ dɛ˩˧ əl˥˧
五香豆	ʔu˥˧ ɕiɑŋ˧˩ dei˩˧
五香豆腐乾	ʔu˥˧ ɕiɑŋ˧˩ dei˩˧ vu˥˧ kɛ̃˧˩
五香豆腐干	ʔu˥˧ ɕiɑŋ˧˩ dei˩˧ vu˥˧ kɛ̃˧˩
五鬥櫥	ʔu˥˧ tei˧˩ ʣʮ˧˩
井	ʨin˥˧
亚	iɑ˦˦˥
亞	iɑ˦˦˥
亡	vɑŋ˨˩˧
交	ʨiɔ˧
交代	ʨiɔ˧ dɛ˧
交关	ʨiɔ˧ kuõ˧
交春	ʨiɔ˧ ʦʮen˧
交朋友	ʨiɔ˧ bɑŋ˧˩ ʔiø˥˧
交杯酒	ʨiɔ˧ pei˧ ʨiø˥˧
交椅	ʨiɔ˧ ʔi˥˧
交稅	ʨiɔ˧ sʮei˥
交税	ʨiɔ˧ sʮei˥
交运	ʨiɔ˧ ɦyn˩˧
交運	ʨiɔ˧ ɦyn˩˧
交關	ʨiɔ˧ kuõ˧
亥	ɦɛ˩˧
亦	ɦiəʔ˨
产	ʦʰᴇ̃˥˧
产妇娘	ʦʰɛ̃˧ vu˧˩ niɑŋ˧˩
亨	hen˧
亨不啷噹	hɑŋ˧ pəʔ˥ lɑŋ˧ tɑŋ˧
亨不啷当	hɑŋ˧ pəʔ˥ lɑŋ˧ tɑŋ˧
亨倌儿	hɑŋ˧ kuõ˧ əl˧
亨倌兒	hɑŋ˧ kuõ˧ əl˧
享	ɕiɑŋ˥˧
京	ʨin˧
京戏	ʨin˧ ɕi˧
京戲	ʨin˧ ɕi˧
亭子間	din˧˩ ʦɿ ʨiɛ̃˧˩
亭子间	din˧˩ ʦɿ ʨiɛ̃˧˩
亭柱	din˧˩ ʣʮ˩˧
亭督	din˧˩ toʔ˥
亮	liɑŋ˥
亮晶晶	liɑŋ˥ ʨin˧ ʨin˧
亮裡頭	liɑŋ˥ li˧˩ dei
亮話	liɑŋ˥ ɦuɑ˩˧
亮话	liɑŋ˥ ɦuɑ˩˧
亮里头	liɑŋ˥ li˧˩ dei
亲	ʨʰin˧
亲家	ʨʰin˧ ʨiɑ˧
亲家公	ʨʰin˧ ʨiɑ˧ koŋ˧
亲家婆	ʨʰin˧ ʨiɑ˧ bo˧
亲眷	ʨʰin˧ ʨyõ˧
人	zen˨˩˧
人中	zen˧˩ ʦoŋ˧
人來瘋	zen˧˩ lɛ˩˧ foŋ˧
人头	zen˧˩ dei
人字梯	zen˧˩ zɿ˩˧ tʰi˧
人情	zen˧˩ ʥin˩˧
人手	zen˧˩ sei˥˧
人来疯	zen˧˩ lɛ˩˧ foŋ˧
人粪肥	zen˧˩ fen˥ vi˧˩
人糞肥	zen˧˩ fen˥ vi˧˩
人緣	zen˧˩ ɦyõ˩˧
人缘	zen˧˩ ɦyõ˩˧
人證	zen˧˩ ʦen˥
人证	zen˧˩ ʦen˥
人頭	zen˧˩ dei
亿	i˦˦˥
什	zəʔ˨
仁	zen˨˩˧
仅	ʥin˩˧
仆	boʔ˨
仇	ʣei˨˩˧
今	ʨin˧
介	kɑ˦˦˥
介紹人	ʨiɛ˥ zɔ˧˩ zen˧˩
介绍人	ʨiɛ˥ zɔ˧˩ zen˧˩
仍	ʣen˨˩˧
从	ʣoŋ˧˩
从小	ʣoŋ˧˩ ɕiɔ˥˧
仓	ʦʰɑŋ˧
仔細	ʦɿ˥˧ ɕi˧˩
仔细	ʦɿ˥˧ ɕi˧˩
仕	zɿ˩˧
他	tʰɑ˧
他们	tʰɑ˧ men
他们两个	tʰɑ˧ men liɑŋ˥˧ koʔ
他們	tʰɑ˧ men
他們兩個	tʰɑ˧ men liɑŋ˥˧ koʔ
仗	ʦɑŋ˦˦˥
付	fu˦˦˥
仙	ɕiᴇ̃˧
仙人掌	ɕiɛ̃˧ zen˧ ʦɑŋ˥˧
仙人球	ɕiɛ̃˧ zen˧ ʥiø˧
仙人鞭	ɕiɛ̃˧ zen˧ piɛ̃˧
代	dɛ˩˧
代笔	dɛ˩˧ piəʔ˥
代筆	dɛ˩˧ piəʔ˥
令	lin˩˧
令子	lin˥ ʦɿ
以	i˥˧
以上	ʔi˥˧ zɑŋ˩˧
以下	ʔi˥˧ ɦiɑ˩˧
以來	ʔi˥˧ lɛ˨˩˧
以內	ʔi˥˧ nei˩˧
以内	ʔi˥˧ nei˩˧
以前	ʔi˥˧ ʥiɛ̃˨˩˧
以后	ʔi˥˧ ɦei˩˧
以外	ʔi˥˧ ɦuɛ˩˧
以後	ʔi˥˧ ɦei˩˧
以来	ʔi˥˧ lɛ˨˩˧
仰	ȵiɑŋ˥˧
仰天睏	niɑŋ˥˧ tʰiɛ̃˧˩ kʰun˧˩
仰泳	niɑŋ˥˧ ʔioŋ˧˩
仲	ʣoŋ˩˧
件	ʥiɛ̃˩˧
件儿肉	ʥiɛ̃˩˧ əl˥˧ zoʔ˨
件儿饭	ʥiɛ̃˩˧ əl˥˧ vɛ̃˩˧
件兒肉	ʥiɛ̃˩˧ əl˥˧ zoʔ˨
件兒飯	ʥiɛ̃˩˧ əl˥˧ vɛ̃˩˧
价	kɑ˦˦˥
价套	kɑ˥ tʰɔ˧˩
价钿	ʨiɑ˥ diɛ̃˧˩
任	zen˩˧
任手	zen˩˧ sei˥˧
份	ven˩˧
仿	fɑŋ˥˧
企	ʨʰi˥˧
伊	i˧
伍	u˥˧
伏	voʔ˨
伏天	voʔ˨ tʰiɛ̃˧
伐	vɑʔ˨
伐伐泡儿	vɑʔ˨ vɑʔ˨ pʰɔ˥ əl˧˩
伐伐泡兒	vɑʔ˨ vɑʔ˨ pʰɔ˥ əl˧˩
休	ɕiø˧
众	ʦoŋ˦˦˥
优	iø˧
伙	ho˥˧
伙仓	ho˥˧ ʦʰɑŋ˧˩
伙计	ho˥˧ ʨi˧˩
伙食	ho˥˧ zəʔ˨
会	ɦui˩˧
会得	ɦui˩˧ təʔ
会得唻	ɦui˩˧ təʔ lɛ
会钞	ɦui˩˧ ʦʰɔ˥
伞	sɛ̃˥˧
伟	ui˥˧
传	ʣʮõ˨˩˧
传票	ʣʮõ˧˩ pʰiɔ˥
伢	ɦiɑ˨˩˧
伢儿	ɦiɑ˧˩ əl˩˧
伢兒	ɦiɑ˧˩ əl˩˧
伤	suɑŋ˧
伤寒	sɑŋ˧ ɦɛ̃˧
伤科	sɑŋ˧ kʰo˧
伤脑筋	sɑŋ˧ nɔ˥˧ ʨin˧˩
伤风	sɑŋ˧ foŋ˧
伦	len˨˩˧
伪	ɦui˩˧
伯	pɑʔ˥
伯伯	pɑʔ˥ pɑʔ˥
估	ku˥˧
估估看	ku˥˧ ku˧˩ kʰɛ̃
伴	buõ˩˧
伶	lin˨˩˧
伸	sen˧
伸后脚	sen˧ ɦei˩˧ ʨiɑʔ˥
伸後腳	sen˧ ɦei˩˧ ʨiɑʔ˥
伸懒腰	sen˧ lɛ̃˥˧ ʔiɔ˧˩
伸懶腰	sen˧ lɛ̃˥˧ ʔiɔ˧˩
伸手	sen˧ sei˥˧
似	zɿ˩˧
佃	diᴇ̃˩˧
但	dᴇ̃˩˧
位	ɦui˩˧
低	ti˧
低三下四	ti˧ sɛ̃˧ ɦiɑ˩˧ sɿ˥˧
低头	ti˧ dei
低頭	ti˧ dei
住	ʣʮ˩˧
佐	ʦo˥˧
佑	ɦiø˩˧
体	tʰi˥˧
佔	ku˥˧
何	ɦo˨˩˧
佘	ʣʮei˨˩˧
余	ɦy˨˩˧
佛	voʔ˨
佛堂	voʔ˨ dɑŋ˩˧
作	ʦoʔ˥
作业簿	ʦoʔ˥ ɦiəʔ˥ bu˩˧
作娇	ʦoʔ˥ ʨiɔ˧
作嬌	ʦoʔ˥ ʨiɔ˧
作孽	ʦoʔ˥ niəʔ˨
作文簿	ʦoʔ˥ ɦun˧˩ bu˩˧
作業簿	ʦoʔ˥ ɦiəʔ˥ bu˩˧
你	ni˧˩
你们	ni˧˩ men˧˩
你們	ni˧˩ men˧˩
佣	ɦioŋ˩˧
佩	bei˩˧
佬儿	lɔ˥˧ əl˧˩
佬兒	lɔ˥˧ əl˧˩
佮淘	kɑʔ˥ dɔ˧˩
佯兮兮	ɦiɑŋ˧˩ ɕi˧ ɕi˧
佳	ʨiɑ˧
併	pin˥˧
使	sɿ˥˧
侄	ʣəʔ˨
侄儿	ʣəʔ˨ əl˩˧
侄兒	ʣəʔ˨ əl˩˧
侄女儿	ʣəʔ˨ ny˥˧ əl˧˩
侄女兒	ʣəʔ˨ ny˥˧ əl˧˩
來	lᴇ˨˩˧
來三	lɛ˧˩ sɛ̃˧
來回	lɛ˧˩ ɦui˩˧
來往	lɛ˧˩ ʔuɑŋ˥˧
來貓兒	lɛ˧˩ mɔ˧ əl˧
來路貨	lɛ˧˩ lu˩˧ hu˥
侈	ʦʰɿ˥˧
例	li˩˧
侍	zɿ˩˧
供菩萨	koŋ˥ bu˧˩ sɑʔ˥
供菩薩	koŋ˥ bu˧˩ sɑʔ˥
依	ʔi˧
侥	iɔ˧
侧	ʦəʔ˥
侧转睏	ʦəʔ˥ ʦuõ˥˧ kʰun˧˩
侨	ʥiɔ˨˩˧
侬	noŋ˨˩˧
侮	u˥˧
侯	ɦei˨˩˧
便	biᴇ̃˨˩˧
便宜	biɛ̃˧˩ ɦi˩˧
便当	biɛ̃˧˩ tɑŋ˥˧
便當	biɛ̃˧˩ tɑŋ˥˧
係	ɕi˦˦˥
促	ʦʰoʔ˥
促佬	ʦʰoʔ˥ lɔ˥˧
促掐	ʦʰoʔ˥ kʰɑʔ˥
促气相	ʦʰoʔ˥ ʨʰi˥ ɕiɑŋ˧˩
促氣相	ʦʰoʔ˥ ʨʰi˥ ɕiɑŋ˧˩
俄	ŋo˨˩˧
俏	ʨʰiɔ˥
俗	ʣoʔ˨
俘	fu˧
保	pɔ˥˧
保人	pɔ˥˧ zen˧˩
保俶塔	pɔ˥˧ soʔ˥ tʰɑʔ˥
保出來	pɔ˥˧ ʦʰəʔ˥ lɛ˧˩
保出来	pɔ˥˧ ʦʰəʔ˥ lɛ˧˩
信	ɕin˦˦˥
信壳儿	ɕin˥ kʰoʔ˥ əl˧
信殼兒	ɕin˥ kʰoʔ˥ əl˧
信紙兒	ɕin˥ ʦɿ˥˧ əl˧˩
信纸儿	ɕin˥ ʦɿ˥˧ əl˧˩
俭	ʥiᴇ̃˩˧
修	ɕiø˧
修五脏庙	ɕiø˧ ʔu˥˧ ʣɑŋ˧˩ miɔ˧˩
修五臟廟	ɕiø˧ ʔu˥˧ ʣɑŋ˧˩ miɔ˧˩
修棕繃的	ɕiø˧ ʦoŋ˧ pɑŋ˧ ti
修棕绷的	ɕiø˧ ʦoŋ˧ pɑŋ˧ ti
修脸	ɕiø˧ liɛ̃˥˧
修臉	ɕiø˧ liɛ̃˥˧
俸	voŋ˩˧
倉	ʦʰɑŋ˧
個	koʔ˥
倍	bei˩˧
倒	tɔ˦˦˥
倒反	tɔ˥˧ fɛ̃˧˩
倒担	tɔ˥˧ tɛ̃˥
倒挂眉毛	tɔ˥ kuɑ˧˩ mi˧˩ mɔ˩˧
倒掛眉毛	tɔ˥ kuɑ˧˩ mi˧˩ mɔ˩˧
倒擔	tɔ˥˧ tɛ̃˥
倒数第一	tɔ˥ su˧˩ di˩˧ ʔiəʔ˥
倒數第一	tɔ˥ su˧˩ di˩˧ ʔiəʔ˥
倒毛	tɔ˥ mɔ˧˩
倒灶	tɔ˥˧ ʦɔ˥
倒督虫儿	tɔ˥ toʔ˥˧ ʣoŋ˧˩ əl˩˧
倒督蟲兒	tɔ˥ toʔ˥˧ ʣoŋ˧˩ əl˩˧
倒竈	tɔ˥˧ ʦɔ˥
倒立	tɔ˥ liəʔ˨
倒胃口	tɔ˥˧ ʔui˥ kʰø˧˩
倒背手	tɔ˥ pei˧˩ sei˥˧
倒茶	tɔ˥ ʣɑ˨˩˧
倒貼	tɔ˥ tʰiəʔ˥
倒贴	tɔ˥ tʰiəʔ˥
倒轉	tɔ˥ ʦʮõ˧˩
倒转	tɔ˥ ʦʮõ˧˩
倒运	tɔ˥˧ ɦyn˩˧
倒運	tɔ˥˧ ɦyn˩˧
倒霉	tɔ˥˧ mei˨˩˧
倒黴	tɔ˥˧ mei˨˩˧
倔	ʥyəʔ˨
倔头倔脑	ʥyəʔ˨ dei˩˧ ʥiɑŋ˩˧ nɔ˥˧
倔頭倔腦	ʥyəʔ˨ dei˩˧ ʥiɑŋ˩˧ nɔ˥˧
倘	tʰɑŋ˥˧
候	hei˥
倚	i˧
借	ʨiɑ˦˦˥
借手	ʨi˥ sei˧˩
借手佬	ʨi˥ sei˧˩ lɔ˥˧
借手边	ʨi˥ sei˧˩ piɛ̃˧˩
倡	ʦʰɑŋ˦˦˥
倦	ʥyõ˩˧
倪	ȵi˨˩˧
倫	len˨˩˧
倭	o˧
倭七倭八	ʔo˧ ʨʰiəʔ˥ ʔo˧ pɑʔ˥
倭之疙瘩	o˧ ʦɿ˧ kəʔ˥ tɑʔ˥
倭得	ʔo˧ təʔ
债	ʦᴇ˦˦˥
值	ʣəʔ˨
值鈿	ʣəʔ˨ diɛ̃˩˧
值钿	ʣəʔ˨ diɛ̃˩˧
倾	ʨʰin˦˦˥
假	ʨiɑ˦˦˥
偉	ui˥˧
偎	ui˧
偎灶猫	ui˧ ʦɔ˥ mɔ˧
偎竈貓	ui˧ ʦɔ˥ mɔ˧
偏	pʰiᴇ̃˧
偏心	pʰiɛ̃˧ ɕin˧
偏生	pʰiɛ̃˧ sen˧
做	ʦo˥
做七	ʦo˥ ʨʰiəʔ˥
做事情	ʦo˥ zɿ˩˧ ʥin˥˧
做产妇	ʦo˥ ʦʰɛ̃˥˧ vu˧˩
做人家	ʦo˥ zen˧˩ ʨiɑ˧˩
做伤	ʦo˥ sɑŋ˧
做作	ʦo˥ ʦoʔ˥
做傷	ʦo˥ sɑŋ˧
做冷性	ʦo˥ len˥˧ ɕin˧˩
做啥	ʦo˥ sɑ˥˧
做喜事	ʦo˥ ɕi˥˧ zɿ˧˩
做夢	ʦo˥ moŋ˩˧
做头	ʦo˥ dei
做头发	ʦo˥ dei˧˩ fɑʔ˥
做好人	ʦo˥ hɔ˥˧ zen˧˩
做好日	ʦo˥ hɔ˥˧ zəʔ˨
做媒	ʦo˥ mei˨˩˧
做客	ʦo˥ kʰɑʔ˥
做客人	ʦo˥ kʰɑʔ˥ zen˧˩
做小生意的	ʦo˥ ɕiɔ˥˧ sen˧˩ ʔi˧ ti
做巧手儿的	ʦo˥ ʨʰiɔ˥˧ sei˧˩ əl˧˩ ti
做巧手兒的	ʦo˥ ʨʰiɔ˥˧ sei˧˩ əl˧˩ ti
做市儿	ʦo˥ zɿ˩˧ əl˥˧
做市兒	ʦo˥ zɿ˩˧ əl˥˧
做市面	ʦo˥ zɿ˩˧ miɛ̃˥˧
做庄	ʦo˥ ʦʮɑŋ˧
做恶人	ʦo˥ ʔoʔ˥ zen˧
做惡人	ʦo˥ ʔoʔ˥ zen˧
做戏文	ʦo˥ ɕi˥ ɦun˧˩
做戏文的	ʦo˥ ɕi˥ ɦun˧˩ ti
做戲文	ʦo˥ ɕi˥ ɦun˧˩
做戲文的	ʦo˥ ɕi˥ ɦun˧˩ ti
做手脚	ʦo˥ sei˥˧ ʨiɑʔ˥
做手腳	ʦo˥ sei˥˧ ʨiɑʔ˥
做掉	ʦo˥ diɔ˧˩
做梦	ʦo˥ moŋ˩˧
做棉被	ʦo˥ miɛ̃˧˩ bi˩˧
做生意	ʦo˥ sen˧ ʔi˧
做生意的	ʦo˥ sen˧ ʔi˧ ti
做生活	ʦo˥ sen˧ ɦuoʔ˥
做產婦	ʦo˥ ʦʰɛ̃˥˧ vu˧˩
做秧田	ʦo˥ ʔiɑŋ˧ diɛ̃˧
做筋骨	ʦo˥ ʨin˧ kuoʔ˥
做莊	ʦo˥ ʦʮɑŋ˧
做衣裳	ʦo˥ ʔi˧ zɑŋ˧
做道场	ʦo˥ dɔ˩˧ ʣɑŋ˥˧
做道場	ʦo˥ dɔ˩˧ ʣɑŋ˥˧
做难人	ʦo˥ nɛ̃˧˩ zen˩˧
做難人	ʦo˥ nɛ̃˧˩ zen˩˧
做頭	ʦo˥ dei
做頭髮	ʦo˥ dei˧˩ fɑʔ˥
做鬼脸	ʦo˥ kui˥˧ liɛ̃˧˩
做鬼臉	ʦo˥ kui˥˧ liɛ̃˧˩
停歇	din˧˩ ɕiəʔ˥
健	ʥiɛ̃˩˧
側	ʦəʔ˥
側轉睏	ʦəʔ˥ ʦuõ˥˧ kʰun˧˩
偶	ŋei˥˧
偷	tʰei˧
偷拳头	tʰei˥ ʥyõ˧˩ dei
偷拳頭	tʰei˥ ʥyõ˧˩ dei
偷牛暗	tʰei˥ niø˨˩˧ ɦɛ̃˩˧
偷看	tʰei˥ kʰɛ̃˧
偷雞	tʰei˥ ʨi˧
偷鸡	tʰei˥ ʨi˧
偽	ɦui˩˧
傀	kʰui˧
傅	fu˦˦˥
傑	ʥiəʔ˨
傘	sᴇ̃˥˧
備	bei˩˧
储	ʣʮ˩˧
催	ʦʰʮei˧
催命鬼	ʦʰʮei˧ min˩˧ kui˥˧
傭	ɦioŋ˩˧
傲	ŋɔ˩˧
傳	ʣʮõ˨˩˧
傳票	ʣʮõ˧˩ pʰiɔ˥
債	ʦᴇ˦˦˥
傷	suɑŋ˧
傷寒	sɑŋ˧ ɦɛ̃˧
傷科	sɑŋ˧ kʰo˧
傷腦筋	sɑŋ˧ nɔ˥˧ ʨin˧˩
傷風	sɑŋ˧ foŋ˧
傻	sɑ˥˧
傾	ʨʰin˦˦˥
僅	ʥin˩˧
像	ʥiɑŋ˩˧
像样	ʥiɑŋ˩˧ ɦiɑŋ˩˧
像模像样	ʥiɑŋ˩˧ moʔ˨ ʥiɑŋ˩˧ ʔiɑŋ˥
像模像樣	ʥiɑŋ˩˧ moʔ˨ ʥiɑŋ˩˧ ʔiɑŋ˥
像樣	ʥiɑŋ˩˧ ɦiɑŋ˩˧
像煞	ʥiɑŋ˩˧ sɑʔ˥
像煞有介事	ʥiɑŋ˩˧ sɑʔ˥ ʔiø˥˧ kɑ˧˩ zɿ˩˧
像腔	ʥiɑŋ˩˧ ʨʰiɑŋ˧
僑	ʥiɔ˨˩˧
僕	boʔ˨
僚	liɔ˨˩˧
僥	iɔ˧
僧	sen˧
僱	ku˦˦˥
僵	ʨiɑŋ˧
僵坏佬儿	ʨiɑŋ˧ ɦuɛ˧ lɔ˥˧ əl˧˩
僵壞佬兒	ʨiɑŋ˧ ɦuɛ˧ lɔ˥˧ əl˧˩
僵飯	ʨiɑŋ˧ vɛ̃˧
僵饭	ʨiɑŋ˧ vɛ̃˧
價	kɑ˦˦˥
價套	kɑ˥ tʰɔ˧˩
價鈿	ʨiɑ˥ diɛ̃˧˩
僻	pʰiəʔ˥
儂	noŋ˨˩˧
億	i˦˦˥
儉	ʥiᴇ̃˩˧
